2.57e+08,1.91e+08,3.46e+06,1.09e+06
5.06e+08,1.62e+08,8.59e+06,1.74e+06
6.97e+08,1.43e+08,1.22e+07,1.79e+06
1.10e+09,1.48e+08,1.49e+07,1.77e+06
1.63e+09,1.60e+08,1.66e+07,1.81e+06
2.17e+09,1.72e+08,1.76e+07,1.82e+06
2.49e+09,1.81e+08,1.78e+07,1.89e+06
2.75e+09,1.92e+08,1.76e+07,1.87e+06
2.92e+09,2.00e+08,1.66e+07,1.89e+06
3.03e+09,2.06e+08,1.67e+07,1.94e+06
3.12e+09,2.12e+08,1.53e+07,1.94e+06
3.26e+09,2.15e+08,1.49e+07,2.08e+06
3.36e+09,2.12e+08,1.44e+07,2.09e+06
3.30e+09,2.12e+08,1.41e+07,2.14e+06
3.27e+09,2.06e+08,1.31e+07,2.20e+06
3.21e+09,2.00e+08,1.26e+07,2.18e+06
3.12e+09,1.90e+08,1.16e+07,2.18e+06
3.04e+09,1.81e+08,1.12e+07,2.30e+06
2.87e+09,1.67e+08,1.11e+07,2.21e+06
2.67e+09,1.55e+08,1.05e+07,2.27e+06
2.46e+09,1.43e+08,9.90e+06,2.30e+06
2.23e+09,1.33e+08,9.87e+06,2.34e+06
1.99e+09,1.24e+08,9.47e+06,2.30e+06
1.75e+09,1.21e+08,8.98e+06,2.37e+06
1.51e+09,1.21e+08,8.61e+06,2.27e+06
1.27e+09,1.21e+08,8.36e+06,2.30e+06
1.06e+09,1.24e+08,7.78e+06,2.30e+06
8.84e+08,1.26e+08,7.47e+06,2.39e+06
7.37e+08,1.30e+08,7.16e+06,2.27e+06
6.06e+08,1.32e+08,6.89e+06,2.40e+06
4.98e+08,1.32e+08,6.89e+06,2.30e+06
4.08e+08,1.30e+08,6.69e+06,2.20e+06
3.36e+08,1.24e+08,6.23e+06,2.24e+06
2.80e+08,1.19e+08,6.07e+06,2.18e+06
2.36e+08,1.12e+08,5.89e+06,2.21e+06
2.09e+08,1.08e+08,5.40e+06,2.17e+06
1.81e+08,1.04e+08,5.34e+06,2.14e+06
1.65e+08,9.78e+07,5.20e+06,2.09e+06
1.50e+08,9.25e+07,5.26e+06,2.09e+06
1.38e+08,8.74e+07,5.12e+06,2.14e+06
1.33e+08,8.38e+07,4.84e+06,2.08e+06
1.26e+08,7.92e+07,4.77e+06,2.03e+06
1.20e+08,7.81e+07,4.71e+06,2.05e+06
1.13e+08,7.40e+07,4.32e+06,1.95e+06
1.09e+08,7.29e+07,4.21e+06,2.03e+06
1.05e+08,6.89e+07,4.21e+06,1.92e+06
1.00e+08,6.71e+07,4.15e+06,1.92e+06
9.75e+07,6.34e+07,4.21e+06,1.81e+06
9.36e+07,6.06e+07,3.98e+06,1.82e+06
9.22e+07,5.83e+07,3.82e+06,1.87e+06
